feature,importance_mean,importance_sd
worst concave points,0.003909853249475859,0.0020819995598664815
worst area,0.0027568134171907233,0.0014483247894864592
worst perimeter,0.0021278825995806718,0.0013113622303140445
worst radius,0.0015932914046121126,0.001182954799133414
mean concave points,0.0012054507337525776,0.0010809867542701914
worst concavity,0.0010062893081760615,0.0007517996258717551
worst texture,0.0010062893081760449,0.0005203217461631378
worst smoothness,0.0001257861635219848,0.00042656163415881086
mean texture,0.00012578616352194595,0.000410815889774957
area error,8.385744234796211e-05,0.0004612159329140376
symmetry error,3.144654088048649e-05,9.99936269828864e-05
concave points error,0.0,0.0
fractal dimension error,0.0,0.0
worst compactness,-3.8857805861880476e-17,0.00020964360587000241
mean concavity,-1.0482180293547306e-05,0.000544569191105267
concavity error,-2.0964360587005792e-05,6.289308176101739e-05
mean perimeter,-4.1928721174055995e-05,0.00026184477980705536
compactness error,-6.289308176102849e-05,0.00016373689048023373
texture error,-7.337526205452028e-05,9.999362698292599e-05
mean area,-8.385744234805648e-05,0.00037148941607274057
mean symmetry,-0.00010482180293502896,0.00010482180293502898
mean fractal dimension,-0.00011530398322853185,0.00010429637705521964
mean radius,-0.00013626834381558206,0.0004838863265234228
worst fractal dimension,-0.00016771488469605745,0.00012578616352200146
mean compactness,-0.00017819706498954923,0.00017881260072569457
smoothness error,-0.00020964360587005793,0.00013259025828800573
radius error,-0.0002306079664570637,0.00024716616609122964
mean smoothness,-0.0002620545073375724,0.00016068878109809848
perimeter error,-0.00030398322851156733,0.00022457322102334965
worst symmetry,-0.00034591194968557336,0.00029105751314287005
